N,true_prev,n,Se,n_Se,Sp,n_Sp,repl,coverage_prLik_mean,width_prLik_mean,width_prLik_sd,loc_prLik_mean,loc_prLik_sd,loc_RG_mean,loc_RG_sd
50,0.01,5,0.9,100,0.9,50,5000,0.9722,0.567112,0.1171590572894,0.0747497685068027,0.117328550098222,0.0744876773399413,0.117620646077531
50,0.02,5,0.9,100,0.9,50,5000,0.9754,0.580272,0.123660601667956,0.0889856671670403,0.132557341930149,0.088662690546485,0.132883646550211
50,0.05,5,0.9,100,0.9,50,5000,0.9764,0.591212,0.129256150671824,0.10034732029276,0.137503933729738,0.100059613602705,0.137863736568718
50,0.1,5,0.9,100,0.9,50,5000,0.9706,0.62902,0.141975318271169,0.146225827549053,0.17310592910708,0.145912128916598,0.173550053202782
50,0.2,5,0.9,100,0.9,50,5000,0.9812,0.687612,0.14702836775325,0.223085694316274,0.20471912550918,0.222796947095372,0.205249435181669
50,0.5,5,0.9,100,0.9,50,5000,0.9684,0.775008,0.12832697884194,0.502273758559065,0.258131027328999,0.502200830499145,0.258577160341389
50,0.01,5,0.99,100,0.9,50,5000,0.9706,0.50238,0.101255252334015,0.0665371903009064,0.106544469101301,0.0661250748053659,0.106616903121634
50,0.02,5,0.99,100,0.9,50,5000,0.9778,0.513272,0.108101948281446,0.0776560292338788,0.115958742021897,0.0771812953811046,0.11602556424293
50,0.05,5,0.99,100,0.9,50,5000,0.9788,0.528832,0.114007523080996,0.094677536501899,0.129722893124937,0.0941192035144258,0.129768079500971
50,0.1,5,0.99,100,0.9,50,5000,0.9728,0.566724,0.124640502546223,0.137249514536415,0.155046192546663,0.136519082923673,0.155065936761096
50,0.2,5,0.99,100,0.9,50,5000,0.9786,0.621872,0.132242781453845,0.217897826084865,0.196591894103689,0.216955515324036,0.196284013738023
50,0.5,5,0.99,100,0.9,50,5000,0.965,0.71328,0.099287930881068,0.500205772356561,0.241999142346324,0.498008992490027,0.240832277611925
50,0.01,5,0.8,1000,0.9,50,5000,0.9724,0.646468,0.125458969255264,0.0810202784473805,0.130990120187218,0.0808470741433035,0.131543175959792
50,0.02,5,0.8,1000,0.9,50,5000,0.9786,0.65988,0.132152481837047,0.0962919695741162,0.146932933512771,0.0960717446763347,0.147538955488592
50,0.05,5,0.8,1000,0.9,50,5000,0.972,0.67642,0.139867852643989,0.114419583496321,0.159981539825347,0.114275649742294,0.160660737834684
50,0.1,5,0.8,1000,0.9,50,5000,0.9722,0.709176,0.149790682199177,0.155147464283246,0.18769651584598,0.155056917341662,0.188496555591381
50,0.2,5,0.8,1000,0.9,50,5000,0.9786,0.7614,0.155108644950395,0.233417249600129,0.227736742107696,0.233477592109275,0.228669313439878
50,0.5,5,0.8,1000,0.9,50,5000,0.9854,0.825288,0.151199898604025,0.499079671297006,0.289972482777692,0.499576194975477,0.290106695066085
50,0.01,5,0.9,1000,0.9,50,5000,0.9728,0.5609,0.109862113291104,0.0708924071566766,0.115824406847059,0.0706249438367951,0.116067448877652
50,0.02,5,0.9,1000,0.9,50,5000,0.977,0.575856,0.118033273422061,0.0857059472027897,0.129591799601493,0.0853301875519741,0.129862003737611
