N,true_prev,n,Se,Sp,repl,coverage_exact_CP_mean,width_exact_CP_mean,width_exact_CP_sd,coverage_exact_B_mean,width_exact_B_mean,width_exact_B_sd,loc_exact_mean,loc_exact_sd,coverage_simul_CP_mean,width_simul_CP_mean,width_simul_CP_sd,coverage_simul_B_mean,width_simul_B_mean,width_simul_B_sd,loc_simul_mean,loc_simul_sd,coverage_Bayes_mean,width_Bayes_mean,width_Bayes_sd,loc_Bayes_mean,loc_Bayes_sd,loc_RG_mean,loc_RG_sd,coverage_FPC_mean,width_FPC_mean,width_FPC_sd,coverage_Ge_mean,width_Ge_mean,width_Ge_sd,loc_Ge_mean,loc_Ge_sd,coverage_binom_CP_mean,width_binom_CP_mean,width_binom_CP_sd,coverage_binom_B_mean,width_binom_B_mean,width_binom_B_sd
50,0.2,10,0.8,0.8,5000,0.9682,0.722776,0.197392012364505,0.9682,0.669744,0.19225224744936,0.229968,0.208454622500746,0.9686,0.722496,0.197189316924984,0.9682,0.67968,0.188858018284144,0.232712,0.205476152255752,0.9438,0.621072,0.14795576703123,0.227528,0.20621152696872,0.225366666666667,0.209898942249922,0.9682,0.932454628067959,0.12813231355727,0.9844,0.799449106710701,0.767640479247603,0.239293221976723,0.202653933567282,0.9682,0.746787563427497,0.189277399238618,0.9682,0.711181286891681,0.172188160781514
50,0.5,10,0.8,0.8,5000,0.9818,0.838928,0.145359267607318,0.9818,0.782472,0.135209857470199,0.495224,0.240788341970964,0.9818,0.836092,0.143917719541409,0.9794,0.789848,0.132254735866175,0.494804,0.244914593717163,0.9002,0.710368,0.11193627884696,0.502096,0.241424903398129,0.495966666666667,0.24826386789207,0.899,0.995361021615637,0.0689180033017806,0.9724,0.843371867075917,0.182860906227828,0.496808637512408,0.241582337882475,0.9818,0.856562792754012,0.134285969333779,0.9818,0.810860923467975,0.120871140492655
50,0.01,25,0.8,0.8,5000,0.9542,0.304216,0.139570918719734,0.9542,0.285676,0.135240234428226,0.060012,0.0827043400165403,0.9678,0.315916,0.156763758309068,0.9532,0.289544,0.139576532360125,0.060448,0.0843522516384198,0.951,0.298056,0.0995154336186386,0.057592,0.0855513023925891,0.0532133333333334,0.0840263048467768,0.982,0.521689252254355,0.040996604971729,0.963,0.327134839852952,0.269943614608095,0.056779202854064,0.0846178006942689,0.9542,0.340243181867735,0.148371528390117,0.9542,0.322807249920122,0.143747350592685
50,0.02,25,0.8,0.8,5000,0.9542,0.323708,0.141933927529526,0.9542,0.304572,0.137855350405877,0.071292,0.0891699556588341,0.9696,0.332204,0.153894116404146,0.9566,0.308584,0.141765208774522,0.071504,0.0918497972836751,0.979,0.310548,0.0989572544265489,0.06564,0.0885103226490735,0.0645333333333334,0.0911201802243361,0.9752,0.527033001606994,0.0402195244447191,0.9656,0.339132660573703,0.235061853462215,0.0682044985234135,0.0916020832729017,0.9706,0.360720867350406,0.150179261140335,0.9542,0.342614754294761,0.14548773559981
50,0.05,25,0.8,0.8,5000,0.9764,0.34464,0.138299008395377,0.954,0.32482,0.134454093208932,0.081964,0.0940743998255663,0.9794,0.351204,0.146718150298882,0.9556,0.329572,0.138286519401891,0.082024,0.0970642453097097,0.9594,0.326996,0.104902511368309,0.080748,0.100615432161462,0.0747333333333334,0.0967742030843441,0.9898,0.533052801799071,0.0377382157599655,0.9678,0.353179735873397,0.202525797457704,0.0787609968106953,0.0970998182879093,0.9764,0.382998902993317,0.145635070283233,0.9764,0.364192275990819,0.140920539848018
50,0.1,25,0.8,0.8,5000,0.9658,0.400908,0.136745440139991,0.9658,0.379536,0.132893178242394,0.122956,0.112220946227317,0.9686,0.405052,0.140402064956213,0.9588,0.385656,0.135793437380188,0.122792,0.115540445969933,0.9694,0.37174,0.105533311593881,0.122344,0.113645627851431,0.116386666666667,0.116302116885438,0.9658,0.547351331899608,0.0342784049703623,0.9608,0.398810615577875,0.161835066567483,0.120469197189083,0.115902505212304,0.9822,0.442161006221461,0.142893939142908,0.9658,0.421420648358188,0.138312421909867
50,0.2,25,0.8,0.8,5000,0.9674,0.490612,0.117272230349739,0.9674,0.4662,0.112718148832454,0.206568,0.131001578840607,0.969,0.492836,0.117608857968669,0.9672,0.473136,0.114137333814112,0.207088,0.134170341700834,0.974,0.44128,0.100256729860775,0.205664,0.135408368239329,0.202626666666667,0.135651116146271,0.9818,0.568021243332934,0.0254662925952999,0.9646,0.471372700155062,0.09889424812747,0.206391123188673,0.134350021807573,0.9796,0.535938475741785,0.121858620529606,0.9796,0.512192631132506,0.118258245181715
50,0.5,25,0.8,0.8,5000,0.973,0.605244,0.0393071173439974,0.973,0.577604,0.0395829830420763,0.497304,0.151646598782117,0.9726,0.6065,0.043008370626993,0.9636,0.580868,0.0399895787584948,0.49702,0.152649205553096,0.9238,0.548916,0.0411626507499621,0.498408,0.151219439887205,0.497213333333333,0.151901884974328,0.9234,0.592824678298859,0.00872521738012531,0.9554,0.560655712122312,0.0264534840811169,0.497363575091874,0.150007202475059,0.973,0.660184317084929,0.0439510172750742,0.973,0.632089650418266,0.042283950865552
50,0.01,5,0.9,0.8,5000,0.9932,0.688032,0.191942427188652,0.9932,0.635692,0.180714284622255,0.095368,0.173360420347519,0.9932,0.67982,0.196641249884736,0.9848,0.629936,0.182360321784626,0.108276,0.168871108583626,0.9462,0.581368,0.138195326135268,0.092412,0.167987577580142,0.0961142857142858,0.173348454484106,0.9932,0.913798423020608,0.420388565251492,0.992,2.63018758483152,2.71119857952786,0.266391191207217,0.21248545633897,0.9932,0.704589591071651,0.188532895989116,0.9932,0.646712448214514,0.180963605668694
50,0.02,5,0.9,0.8,5000,0.991,0.701236,0.19216247705397,0.991,0.648384,0.18258558552966,0.10694,0.182874068651072,0.991,0.693868,0.196320011423637,0.9908,0.642668,0.18469895645862,0.120988,0.178353429586226,0.9336,0.589764,0.139060173487487,0.102156,0.179194458047003,0.107714285714286,0.182712619350854,0.991,0.939553673221801,0.414257119344503,0.9908,2.48727350763324,2.64441465396664,0.265279925239125,0.211627029761423,0.991,0.717528900721702,0.188604825704267,0.991,0.659408557864565,0.182629162157158
